code,producto,forma_oficial,sin,codigo_e,clase,ya_en_tags
7500478012114,Xtra flamin hot,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478012114,Xtra flamin hot,rojo allura ac,SIN129,E129,sintetico,True
0757528026936,Snaps sabor Esquites,extracto de annato,SIN160(b),E160b,natural_botanico,False
5507439404027,Pato Pascual Uva,rojo allura ac,SIN129,E129,sintetico,True
5507439404027,Pato Pascual Uva,azul brillante fcf,SIN133,E133,sintetico,True
0735257002469,Gelatina sabor limón,azul brillante fcf,SIN133,E133,sintetico,True
0020515100000,Queso estilo asadero La Villita,extracto de annato,SIN160(b),E160b,natural_botanico,False
0760412179519,Tequila Mix,plata,SIN174,,mineral_inorganico,False
7501011114517,Rancheritos,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011114517,Rancheritos,rojo allura ac,SIN129,E129,sintetico,True
7501011114517,Rancheritos,azul brillante fcf,SIN133,E133,sintetico,True
7501032485177,Caribe cooler tinto,rojo d&c 5,SIN122,E122,sintetico,False
7501011124776,Mafer Cacahuate Enchilado 180GR Frito Enchilado,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011124776,Mafer Cacahuate Enchilado 180GR Frito Enchilado,rojo allura ac,SIN129,E129,sintetico,True
7501011124776,Mafer Cacahuate Enchilado 180GR Frito Enchilado,azul brillante fcf,SIN133,E133,sintetico,True
7501761842241,Tartas Quaker sabor pay de limón,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501954910238,Chocolate,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501005152006,Aderezo Hellmann's light,anaranjado alimentos 5,SIN160a(i),E160a,sintetico,False
7501005152006,Aderezo Hellmann's light,anaranjado alimentos 5,SIN160a(ii),E160a,natural_botanico,False
7501011164512,Sabritas Adobadas,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011164512,Sabritas Adobadas,azul brillante fcf,SIN133,E133,sintetico,False
7501795828426,Sabor a Chocolate,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501209701420,Naranjada,amarillo alimentos 3,SIN110,E110,sintetico,False
7501791655439,Mozzarella Picado,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501040090875,Strawberry Yogurt,rojo 6,SIN124,E124,sintetico,False
7501011143586,Cheetos torciditos,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011143586,Cheetos torciditos,rojo allura ac,SIN129,E129,sintetico,True
7501005151979,Mayonesa Hellmann's Clásica,anaranjado alimentos 5,SIN160a(i),E160a,sintetico,False
7501005151979,Mayonesa Hellmann's Clásica,anaranjado alimentos 5,SIN160a(ii),E160a,natural_botanico,False
7500478001620,Rancheritos,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478001620,Rancheritos,rojo allura ac,SIN129,E129,sintetico,True
7500478001620,Rancheritos,azul brillante fcf,SIN133,E133,sintetico,True
7501008007884,All Bran Flakes,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7500478007967,Ruffles,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478007967,Ruffles,rojo allura ac,SIN129,E129,sintetico,True
7501761856217,Hot cakes de avena,rojo allura ac,SIN129,E129,sintetico,True
7501011167070,be light Sabor Mango,rojo allura ac,SIN129,E129,sintetico,False
7501011148963,Pake Taxo Mezcladito,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011148963,Pake Taxo Mezcladito,rojo allura ac,SIN129,E129,sintetico,True
7501011148963,Pake Taxo Mezcladito,azul brillante fcf,SIN133,E133,sintetico,True
7501011128323,Cheetos torciditos,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011128323,Cheetos torciditos,rojo allura ac,SIN129,E129,sintetico,True
7501008754030,Galletas Surtido Diario,amarillo fd&c 6,SIN110,E110,sintetico,True
7501008754030,Galletas Surtido Diario,rojo no 40 fd&c,SIN129,E129,sintetico,False
7501008754030,Galletas Surtido Diario,azul no 1 fd&c,SIN133,E133,sintetico,False
7501008754030,Galletas Surtido Diario,caramelo clase ii,SIN150(b),E150,fuera_de_eje,False
7501011167445,Papas,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011167445,Papas,rojo allura ac,SIN129,E129,sintetico,True
7501011167445,Papas,azul brillante fcf,SIN133,E133,sintetico,True
7500478014606,Cheetos Poffs,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501058639639,"Coffee mate.
Coffee mate.",extracto de annato,SIN160(b),E160b,natural_botanico,False
0041616173122,"Mezcla de Botanas, South of the Border",amarillo ocaso fcf,SIN110,E110,sintetico,False
7501008005934,Nutri fibra All Bran Manzana Crunch,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
2000000106974,Leche sabor helado menta con chocolate,verde natural 3,SIN140,E140,natural_botanico,False
7501761865530,Quaker Stila Fit Chocolate,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501761865530,Quaker Stila Fit Chocolate,rojo allura ac,SIN129,E129,sintetico,True
7501761865530,Quaker Stila Fit Chocolate,azul brillante fcf,SIN133,E133,sintetico,True
7501761865530,Quaker Stila Fit Chocolate,caramelo clase i,SIN150(a),E150,fuera_de_eje,True
0036731106186,Bebida Gatorade sabor fresandia,rojo allura ac,SIN129,E129,sintetico,True
7501008004562,All Brain Pasas,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501761802351,Galletas de Avena,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501000606566,Galletas con relleno sabor chocolate,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501000606566,Galletas con relleno sabor chocolate,azul brillante fcf,SIN133,E133,sintetico,True
7622210255648,Tang tamarindo,amarillo ocaso fcf,SIN110,E110,sintetico,False
7622210255648,Tang tamarindo,rojo allura ac,SIN129,E129,sintetico,True
7501000112388,Panquecitos con chispas sabar a chocolate,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501011123380,Doritos pizzerolas,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011123380,Doritos pizzerolas,rojo allura ac,SIN129,E129,sintetico,True
7501000606580,Galletas Con relleno sabor fresa,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501000606580,Galletas Con relleno sabor fresa,azul brillante fcf,SIN133,E133,sintetico,False
7501761880540,Galletas de Avena,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501031345083,Mirinda sabor naranja,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011150690,Chetos flaming,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011150690,Chetos flaming,rojo allura ac,SIN129,E129,sintetico,True
7538129336005,Gomitas de pectina GOMAROMAS,amarillo ocaso fcf,SIN110,E110,sintetico,False
7538129336005,Gomitas de pectina GOMAROMAS,azul brillante fcf,SIN133,E133,sintetico,True
7501902770525,Caramelos macizos sabor a mantequilla,rojo allura ac,SIN129,E129,sintetico,True
7501000673162,Galletas Gamesa Ricanelas clásicas sabor canela,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501000673162,Galletas Gamesa Ricanelas clásicas sabor canela,rojo allura ac,SIN129,E129,sintetico,True
7501000673162,Galletas Gamesa Ricanelas clásicas sabor canela,azul brillante fcf,SIN133,E133,sintetico,True
7501008072509,choco krispis barra,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501000612130,Cremax sabor a chocolate,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501000612130,Cremax sabor a chocolate,rojo allura ac,SIN129,E129,sintetico,True
7501000612130,Cremax sabor a chocolate,azul brillante fcf,SIN133,E133,sintetico,True
7802225426336,Chubi,rojo allura ac,SIN129,E129,sintetico,True
7802225426336,Chubi,azul brillante fcf,SIN133,E133,sintetico,True
7500478014613,Poffs,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501005113373,Soya + Jugo de fruta (durazno),extracto de annato,SIN160(b),E160b,natural_botanico,False
7501441604121,Jarritos sabor piña,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501069210100,Hot Cakes Tradicionales,annato norbixina,SIN160(b),E160b,natural_botanico,False
7500478000722,Multibran,riboflavina 5 fosfato de sodio,SIN101(ii),E101,natural_botanico,False
7500478000722,Multibran,sales de sodio y potasio de complejos cupricos de clorofilinas,SIN141(ii),E141,natural_botanico,False
7500478000722,Multibran,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7622210728869,Trident x layers,azul brillante fcf,SIN133,E133,sintetico,True
7501040090950,Yoplait con fresas naturales,rojo 6,SIN124,E124,sintetico,False
7501761873740,Avena o's,amarillo ocaso fcf,SIN110,E110,sintetico,False
0070662247150,Diblo,curcuma en polvo,SIN100(i),E100,natural_botanico,False
7622210938367,Twist,azul brillante fcf,SIN133,E133,sintetico,True
7501003303639,Salsa Clasica Liquida,rojo allura ac,SIN129,E129,sintetico,False
7501008023594,All Bran flakes,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501023500773,Chorizo de Soya,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501200482366,Pronto light sabor uva,rojo 6,SIN124,E124,sintetico,False
0735257003244,Polvo para pero preparar gelatina sabor mango,amarillo ocaso fcf,SIN110,E110,sintetico,False
0735257003244,Polvo para pero preparar gelatina sabor mango,rojo allura ac,SIN129,E129,sintetico,True
0735257003244,Polvo para pero preparar gelatina sabor mango,azul brillante fcf,SIN133,E133,sintetico,True
0735257003251,Polvo para preparar gelatina de agua sabor Manzana verde,amarillo ocaso fcf,SIN110,E110,sintetico,False
0735257003251,Polvo para preparar gelatina de agua sabor Manzana verde,rojo allura ac,SIN129,E129,sintetico,True
0735257003251,Polvo para preparar gelatina de agua sabor Manzana verde,azul brillante fcf,SIN133,E133,sintetico,True
7501011143753,Botana Sabritas Cheetos Xtra Flamin´Hot sabor chile y limón,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501011143753,Botana Sabritas Cheetos Xtra Flamin´Hot sabor chile y limón,rojo allura ac,SIN129,E129,sintetico,True
11857877,Fusión picante sabor : mantequilla + chile,rojo allura ac,SIN129,E129,sintetico,True
11857877,Fusión picante sabor : mantequilla + chile,extracto de annato,SIN160(b),E160b,natural_botanico,False
7622210541192,Oreo; Pat de Limón,beta caroteno sintetico,SIN160a(i),E160a,sintetico,False
7501792400403,Mini Orejas,extracto de annato,SIN160(b),E160b,natural_botanico,False
0012546671231,Trident Splash X Frutilla y Limón,azul brillante fcf,SIN133,E133,sintetico,True
7501008733417,galletas gaufrette napolitanas,amarillo fd&c 6,SIN110,E110,sintetico,True
7501008733417,galletas gaufrette napolitanas,azul fd&c 1,SIN133,E133,sintetico,True
7500093712604,valley foods cereal de trigo integral,azul brillante fcf,SIN133,E133,sintetico,True
