titulo,autores,anio,revista,doi,bloque,consulta,fuente_api
Chemical stability of açai fruit (Euterpe oleracea Mart.) anthocyanins as influenced by naturally occurring and externally added polyphenolic cofactors in model systems,"Pacheco-Palencia, Lisbeth A.; Talcott, Stephen T.",2010,Food Chemistry,10.1016/j.foodchem.2009.02.032,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Handbook of Innovation in the Food and Drink Industry,"Fillis, Ian",2010,Tourism Management,10.1016/j.tourman.2009.02.001,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Leaving home: Food choice behavior of young German adults,"Harker, Debra; Sharma, Bishnu; Harker, Michael; Reinhard, Karin",2010,Journal of Business Research,10.1016/j.jbusres.2009.02.007,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Proteins in white wines: Thermo-sensitivity and differential adsorbtion by bentonite,"Sauvage, Francois-Xavier; Bach, Benoit; Moutounet, Michel; Vernhet, Aude",2010,Food Chemistry,10.1016/j.foodchem.2009.02.080,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Formation of heterocyclic amines in slices of Longissimus thoracis beef muscle subjected to jets of superheated steam,"Kondjoyan, Alain; Chevolleau, Sylvie; Grève, Eléonore; Gatellier, Philippe; Santé-Lhoutellier, Véronique; Bruel, Sandrine; Touzet, Catherine; Portanguen, Stéphane; Debrauwer, Laurent",2010,Food Chemistry,10.1016/j.foodchem.2009.02.081,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Food Security, Health, and Medication Expenditures of Emergency Department Patients","Sullivan, Ashley F.; Clark, Sunday; Pallin, Daniel J.; Camargo, Carlos A.",2010,The Journal of Emergency Medicine,10.1016/j.jemermed.2008.11.027,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
EFFECTS OF DIFFERENT PEKMEZ (FRUIT MOLASSES) TYPES USED AS A NATURAL SUGAR SOURCE ON THE BATTER RHEOLOGY AND PHYSICAL PROPERTIES OF CAKES,"AKBULUT, MEHMET; BİLGİÇLİ, NERMİN",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00274.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Cloud point extraction preconcentration and spectrophotometric determination of copper in food and water samples using amino acid as the complexing agent,"Liang, Pei; Yang, Juan",2010,Journal of Food Composition and Analysis,10.1016/j.jfca.2009.01.015,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
DRYING EFFECTS OF TWO AIR‐DRYING SHELTERS IN A PILOT TEST ON SULTANA GRAPES,"LI, LINGLING; WANG, ZHENGFU; HU, XIAOSONG; WU, JIHONG; LIAO, XIAOJUN; CHEN, FANG; ZHAO, GUANGHUA",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00266.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
POROSITY DEVELOPMENT AND ITS EFFECT ON OIL UPTAKE DURING FRYING PROCESS,"ZIAIIFAR, AMAN MOHAMMAD; COURTOIS, FRANCIS; TRYSTRAM, GILLES",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00267.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
APPLICATION OF DISCRETE MODELING APPROACH TO FLUIDIZED BED YEAST DRYING,"DEBASTE, F.; HALLOIN, V.",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00269.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
